最速下降法:
第1次迭代：f(x_i)=7.711096853704860e-01, x_1=1.612607637710941e-01,x_2=0.000000000000000e+00
第34次迭代：f(x_i)=3.237724532326472e-01, x_1=4.309899362654547e-01,x_2=1.857547776218011e-01
第35次迭代：f(x_i)=3.195455893853738e-01, x_1=4.383557065978802e-01,x_2=1.857516041197205e-01
第36次迭代：f(x_i)=3.154422036059336e-01, x_1=4.383575839032138e-01,x_2=1.921580561863488e-01
第37次迭代：f(x_i)=3.114549307631507e-01, x_1=4.454003320593808e-01,x_2=1.921571975429543e-01
第38次迭代：f(x_i)=3.075792124925783e-01, x_1=4.454017558689898e-01,x_2=1.983837210196662e-01
第39次迭代：f(x_i)=3.038084859546590e-01, x_1=4.521487921055609e-01,x_2=1.983825084363224e-01
第40次迭代：f(x_i)=3.001386809961238e-01, x_1=4.521508597497214e-01,x_2=2.044426872290482e-01
第41次迭代：f(x_i)=2.965642392643259e-01, x_1=4.586269442227391e-01,x_2=2.044399845001663e-01
第42次迭代：f(x_i)=2.930813891429522e-01, x_1=4.586300827177103e-01,x_2=2.103458009721401e-01
第43次迭代：f(x_i)=2.896855597321032e-01, x_1=4.648573810266063e-01,x_2=2.103409178468841e-01
第44次迭代：f(x_i)=2.863731202118806e-01, x_1=4.648615886619445e-01,x_2=2.160993338203977e-01
第45次迭代：f(x_i)=2.831399501084025e-01, x_1=4.708611031253629e-01,x_2=2.160959305592068e-01
第46次迭代：f(x_i)=2.799833879878488e-01, x_1=4.708654368203051e-01,x_2=2.217187723320452e-01
第47次迭代：f(x_i)=2.768997734739100e-01, x_1=4.766532829383118e-01,x_2=2.217138401113934e-01
第48次迭代：f(x_i)=2.738864980253025e-01, x_1=4.766583365091931e-01,x_2=2.272067474409672e-01
第49次迭代：f(x_i)=2.709403115592885e-01, x_1=4.822508445293439e-01,x_2=2.272029267710036e-01
第50次迭代：f(x_i)=2.680590899214498e-01, x_1=4.822557690088548e-01,x_2=2.325740862761947e-01
第51次迭代：f(x_i)=2.652399146338045e-01, x_1=4.876684989305306e-01,x_2=2.325704718540674e-01
第52次迭代：f(x_i)=2.624807932312631e-01, x_1=4.876712072692649e-01,x_2=2.378269081970332e-01
第53次迭代：f(x_i)=2.597792905707477e-01, x_1=4.929132969861676e-01,x_2=2.378231232273914e-01
第54次迭代：f(x_i)=2.571335451616064e-01, x_1=4.929166298270756e-01,x_2=2.429697291527992e-01
第55次迭代：f(x_i)=2.545413400531869e-01, x_1=4.980007612707059e-01,x_2=2.429667979560178e-01
第56次迭代：f(x_i)=2.520010493663546e-01, x_1=4.980029390522577e-01,x_2=2.480082164262077e-01
第57次迭代：f(x_i)=2.495106780977855e-01, x_1=5.029378473654650e-01,x_2=2.480069494726194e-01
第58次迭代：f(x_i)=2.470687249817997e-01, x_1=5.029399183088232e-01,x_2=2.529498689464642e-01
第59次迭代：f(x_i)=2.446734173169722e-01, x_1=5.077358223809784e-01,x_2=2.529486077162326e-01
第60次迭代：f(x_i)=2.423234374276121e-01, x_1=5.077364146884796e-01,x_2=2.577964632605261e-01
第61次迭代：f(x_i)=2.400171243639206e-01, x_1=5.124010989500519e-01,x_2=2.577962771029689e-01
第62次迭代：f(x_i)=2.377533162896296e-01, x_1=5.124004549952949e-01,x_2=2.625541349519893e-01
第63次迭代：f(x_i)=2.355304169063354e-01, x_1=5.169401342194215e-01,x_2=2.625542199818143e-01
第64次迭代：f(x_i)=2.333474156706009e-01, x_1=5.169395320777385e-01,x_2=2.672263646474480e-01
第65次迭代：f(x_i)=2.312028572895871e-01, x_1=5.213596647514048e-01,x_2=2.672264700403636e-01
第66次迭代：f(x_i)=2.290956933990211e-01, x_1=5.213605810759733e-01,x_2=2.718175702806791e-01
第67次迭代：f(x_i)=2.270247831535930e-01, x_1=5.256685230129137e-01,x_2=2.718169270501672e-01
第68次迭代：f(x_i)=2.249891242519858e-01, x_1=5.256698154764287e-01,x_2=2.763304922015152e-01
第69次迭代：f(x_i)=2.229875983610462e-01, x_1=5.298720674833458e-01,x_2=2.763289536622892e-01
第70次迭代：f(x_i)=2.210194897394580e-01, x_1=5.298729004982174e-01,x_2=2.807660221129998e-01
第71次迭代：f(x_i)=2.190836774013779e-01, x_1=5.339746385398138e-01,x_2=2.807653840638057e-01
第72次迭代：f(x_i)=2.171794284266565e-01, x_1=5.339748629057236e-01,x_2=2.851296329362366e-01
第73次迭代：f(x_i)=2.153056875374829e-01, x_1=5.379802780136254e-01,x_2=2.851292215279150e-01
第74次迭代：f(x_i)=2.134617631096143e-01, x_1=5.379807762584984e-01,x_2=2.894234863451204e-01
第75次迭代：f(x_i)=2.116468165904960e-01, x_1=5.418955969404954e-01,x_2=2.894233416937388e-01
第76次迭代：f(x_i)=2.098602663129110e-01, x_1=5.418949178273175e-01,x_2=2.936501705783400e-01
第77次迭代：f(x_i)=2.081010486889780e-01, x_1=5.457219829092773e-01,x_2=2.936501132605926e-01
第78次迭代：f(x_i)=2.063687101050396e-01, x_1=5.457217701815528e-01,x_2=2.978118255070236e-01
第79次迭代：f(x_i)=2.046624668536157e-01, x_1=5.494653089723822e-01,x_2=2.978121757226337e-01
第80次迭代：f(x_i)=2.029817003846722e-01, x_1=5.494650952837711e-01,x_2=3.019114784949972e-01
第81次迭代：f(x_i)=2.013257510494366e-01, x_1=5.531294567657725e-01,x_2=3.019118139811154e-01
第82次迭代：f(x_i)=1.996941786050279e-01, x_1=5.531284543216195e-01,x_2=3.059494497785055e-01
第83次迭代：f(x_i)=1.980862892233940e-01, x_1=5.567163158274752e-01,x_2=3.059507647950449e-01
第84次迭代：f(x_i)=1.965014671684918e-01, x_1=5.567151401489656e-01,x_2=3.099303496278916e-01
第85次迭代：f(x_i)=1.949391534167272e-01, x_1=5.602291643552165e-01,x_2=3.099314579618805e-01
第86次迭代：f(x_i)=1.933987223864163e-01, x_1=5.602287840448520e-01,x_2=3.138560969039850e-01
第87次迭代：f(x_i)=1.918797168805766e-01, x_1=5.636725367087552e-01,x_2=3.138562484906523e-01
第88次迭代：f(x_i)=1.903817356022533e-01, x_1=5.636724446284369e-01,x_2=3.177261175975365e-01
第89次迭代：f(x_i)=1.889043252603606e-01, x_1=5.670489710606708e-01,x_2=3.177265101741135e-01
第90次迭代：f(x_i)=1.874470302104440e-01, x_1=5.670484666728278e-01,x_2=3.215439328199772e-01
第91次迭代：f(x_i)=1.860092370277077e-01, x_1=5.703601372749697e-01,x_2=3.215439563303269e-01
第92次迭代：f(x_i)=1.845907436998553e-01, x_1=5.703597508409061e-01,x_2=3.253100915294869e-01
第93次迭代：f(x_i)=1.831909510586727e-01, x_1=5.736093852985412e-01,x_2=3.253102079003528e-01
第94次迭代：f(x_i)=1.818097247314167e-01, x_1=5.736084844788454e-01,x_2=3.290252001823078e-01
第95次迭代：f(x_i)=1.804465403542341e-01, x_1=5.767982964550656e-01,x_2=3.290263177488948e-01
第96次迭代：f(x_i)=1.791010629217910e-01, x_1=5.767966651842277e-01,x_2=3.326925968598478e-01
第97次迭代：f(x_i)=1.777727783182116e-01, x_1=5.799285199837958e-01,x_2=3.326939266944104e-01
第98次迭代：f(x_i)=1.764614206193638e-01, x_1=5.799268869379189e-01,x_2=3.363134572541351e-01
第99次迭代：f(x_i)=1.751665405904862e-01, x_1=5.830033836477038e-01,x_2=3.363147299497826e-01
第100次迭代：f(x_i)=1.738880584746500e-01, x_1=5.830011298858763e-01,x_2=3.398874922151973e-01
第101次迭代：f(x_i)=1.726254589163166e-01, x_1=5.860230150512972e-01,x_2=3.398895412086573e-01
第102次迭代：f(x_i)=1.713782480912803e-01, x_1=5.860214404056793e-01,x_2=3.434194330570104e-01
第103次迭代：f(x_i)=1.701462322851581e-01, x_1=5.889914364869159e-01,x_2=3.434206500812878e-01
第104次迭代：f(x_i)=1.689291756941310e-01, x_1=5.889900544457533e-01,x_2=3.469074144067366e-01
第105次迭代：f(x_i)=1.677268044964018e-01, x_1=5.919105289197257e-01,x_2=3.469087437460283e-01
第106次迭代：f(x_i)=1.665390505101287e-01, x_1=5.919080373520745e-01,x_2=3.503528175345851e-01
第107次迭代：f(x_i)=1.653652442817563e-01, x_1=5.947790322750154e-01,x_2=3.503544417382365e-01
第108次迭代：f(x_i)=1.642051619418196e-01, x_1=5.947776392734966e-01,x_2=3.537586821720414e-01
第109次迭代：f(x_i)=1.630586560551172e-01, x_1=5.976012185078111e-01,x_2=3.537599077799052e-01
第110次迭代：f(x_i)=1.619252843382407e-01, x_1=5.976005913257776e-01,x_2=3.571249276724888e-01
第111次迭代：f(x_i)=1.608051363207418e-01, x_1=6.003792909486619e-01,x_2=3.571259909439594e-01
第112次迭代：f(x_i)=1.596978937787006e-01, x_1=6.003778115077782e-01,x_2=3.604519564617949e-01
第113次迭代：f(x_i)=1.586031922992619e-01, x_1=6.031128982600955e-01,x_2=3.604530247158178e-01
第114次迭代：f(x_i)=1.575211135134768e-01, x_1=6.031107044132279e-01,x_2=3.637401508863826e-01
第115次迭代：f(x_i)=1.564511123297046e-01, x_1=6.058034513221257e-01,x_2=3.637417606083316e-01
第116次迭代：f(x_i)=1.553933592151550e-01, x_1=6.058003581379373e-01,x_2=3.669901103655058e-01
第117次迭代：f(x_i)=1.543473568162695e-01, x_1=6.084507405207282e-01,x_2=3.669927784927771e-01
第118次迭代：f(x_i)=1.533126623190375e-01, x_1=6.084483917802417e-01,x_2=3.702073971475893e-01
第119次迭代：f(x_i)=1.522891022717726e-01, x_1=6.110578170864935e-01,x_2=3.702087630780891e-01
第120次迭代：f(x_i)=1.512763647638111e-01, x_1=6.110573760004216e-01,x_2=3.733911533314657e-01
第121次迭代：f(x_i)=1.502744344856763e-01, x_1=6.136285870442482e-01,x_2=3.733911291581695e-01
第122次迭代：f(x_i)=1.492834965196133e-01, x_1=6.136277748221719e-01,x_2=3.765379025868565e-01
第123次迭代：f(x_i)=1.483031523759985e-01, x_1=6.161607009507146e-01,x_2=3.765386524641148e-01
第124次迭代：f(x_i)=1.473331661584302e-01, x_1=6.161599734142176e-01,x_2=3.796518919528348e-01
第125次迭代：f(x_i)=1.463734641821263e-01, x_1=6.186552604375650e-01,x_2=3.796526859432470e-01
第126次迭代：f(x_i)=1.454234325854372e-01, x_1=6.186557558326414e-01,x_2=3.827354527834993e-01
第127次迭代：f(x_i)=1.444833115022805e-01, x_1=6.211161179167313e-01,x_2=3.827351247250610e-01
第128次迭代：f(x_i)=1.435530739097971e-01, x_1=6.211160152536588e-01,x_2=3.857847504080821e-01
第129次迭代：f(x_i)=1.426324535381498e-01, x_1=6.235410926025037e-01,x_2=3.857849770126839e-01
第130次迭代：f(x_i)=1.417211206199327e-01, x_1=6.235413427526048e-01,x_2=3.888039910778306e-01
第131次迭代：f(x_i)=1.408190824391633e-01, x_1=6.259327158644453e-01,x_2=3.888038735956157e-01
第132次迭代：f(x_i)=1.399261571176561e-01, x_1=6.259329510451941e-01,x_2=3.917922566616450e-01
第133次迭代：f(x_i)=1.390422308078756e-01, x_1=6.282913990708251e-01,x_2=3.917921321752783e-01
第134次迭代：f(x_i)=1.381671524365893e-01, x_1=6.282915760578045e-01,x_2=3.947505690895995e-01
第135次迭代：f(x_i)=1.373007659220013e-01, x_1=6.306180330028586e-01,x_2=3.947504035307688e-01
第136次迭代：f(x_i)=1.364430097933488e-01, x_1=6.306180705902757e-01,x_2=3.976795856764375e-01
第137次迭代：f(x_i)=1.355936046002724e-01, x_1=6.329125792774986e-01,x_2=3.976793156783692e-01
第138次迭代：f(x_i)=1.347522742831677e-01, x_1=6.329138058944284e-01,x_2=4.005818357028742e-01
第139次迭代：f(x_i)=1.339190445662143e-01, x_1=6.351782774335016e-01,x_2=4.005806335935449e-01
第140次迭代：f(x_i)=1.330939660369710e-01, x_1=6.351795432123093e-01,x_2=4.034549127381168e-01
第141次迭代：f(x_i)=1.322767776491814e-01, x_1=6.374138442716939e-01,x_2=4.034537739588765e-01
第142次迭代：f(x_i)=1.314672740002282e-01, x_1=6.374158391858590e-01,x_2=4.063007601747219e-01
第143次迭代：f(x_i)=1.306656501603042e-01, x_1=6.396215479922157e-01,x_2=4.062996609337082e-01
第144次迭代：f(x_i)=1.298716515460078e-01, x_1=6.396229040742419e-01,x_2=4.091191271236572e-01
第145次迭代：f(x_i)=1.290851589627213e-01, x_1=6.418010313532437e-01,x_2=4.091181197539733e-01
第146次迭代：f(x_i)=1.283063794137283e-01, x_1=6.418012012751748e-01,x_2=4.119090232141829e-01
第147次迭代：f(x_i)=1.275348666083042e-01, x_1=6.439511016337383e-01,x_2=4.119088784254888e-01
第148次迭代：f(x_i)=1.267704310200242e-01, x_1=6.439516451229408e-01,x_2=4.146740272617003e-01
第149次迭代：f(x_i)=1.260131510735054e-01, x_1=6.460752450904015e-01,x_2=4.146738447694589e-01
第150次迭代：f(x_i)=1.252630438940076e-01, x_1=6.460748046660975e-01,x_2=4.174127898464036e-01
第151次迭代：f(x_i)=1.245196474840427e-01, x_1=6.481718127290437e-01,x_2=4.174127089018166e-01
第152次迭代：f(x_i)=1.237830604639320e-01, x_1=6.481718310793753e-01,x_2=4.201271455985211e-01
第153次迭代：f(x_i)=1.230530648508487e-01, x_1=6.502422138557591e-01,x_2=4.201268967206479e-01
第154次迭代：f(x_i)=1.223292315777874e-01, x_1=6.502440404006204e-01,x_2=4.228190513424683e-01
第155次迭代：f(x_i)=1.216120453704071e-01, x_1=6.522895932307011e-01,x_2=4.228180347876569e-01
第156次迭代：f(x_i)=1.209010473598906e-01, x_1=6.522917219332334e-01,x_2=4.254871807343922e-01
第157次迭代：f(x_i)=1.201964005082355e-01, x_1=6.543135874806768e-01,x_2=4.254856179869387e-01
第158次迭代：f(x_i)=1.194982417648273e-01, x_1=6.543148231161426e-01,x_2=4.281294612918272e-01
第159次迭代：f(x_i)=1.188062519521377e-01, x_1=6.563128385963353e-01,x_2=4.281285523462217e-01
第160次迭代：f(x_i)=1.181205685405436e-01, x_1=6.563132697854290e-01,x_2=4.307474948826450e-01
第161次迭代：f(x_i)=1.174409181759339e-01, x_1=6.582872364619656e-01,x_2=4.307472727645825e-01
第162次迭代：f(x_i)=1.167670224845842e-01, x_1=6.582881002319075e-01,x_2=4.333438668425295e-01
第163次迭代：f(x_i)=1.160990749606536e-01, x_1=6.602397992926374e-01,x_2=4.333434991477639e-01
第164次迭代：f(x_i)=1.154370723697737e-01, x_1=6.602396839486303e-01,x_2=4.359161863494444e-01
第165次迭代：f(x_i)=1.147807763442203e-01, x_1=6.621691860206383e-01,x_2=4.359163305600554e-01
第166次迭代：f(x_i)=1.141303384338683e-01, x_1=6.621681804748589e-01,x_2=4.384654736688132e-01
第167次迭代：f(x_i)=1.134854122240124e-01, x_1=6.640756832909471e-01,x_2=4.384661659930471e-01
第168次迭代：f(x_i)=1.128461134960750e-01, x_1=6.640742446349222e-01,x_2=4.409926569393464e-01
第169次迭代：f(x_i)=1.122122155623296e-01, x_1=6.659595146106262e-01,x_2=4.409937495969002e-01
第170次迭代：f(x_i)=1.115833675321809e-01, x_1=6.659590333222440e-01,x_2=4.435003702438025e-01
第171次迭代：f(x_i)=1.109598748363097e-01, x_1=6.678241731613238e-01,x_2=4.435009644866314e-01
第172次迭代：f(x_i)=1.103418090000663e-01, x_1=6.678226246371120e-01,x_2=4.459853343492883e-01
第173次迭代：f(x_i)=1.097287952942976e-01, x_1=6.696667200661198e-01,x_2=4.459862918915540e-01
第174次迭代：f(x_i)=1.091208038319986e-01, x_1=6.696656184859038e-01,x_2=4.484505516291371e-01
第175次迭代：f(x_i)=1.085178191933325e-01, x_1=6.714889037833967e-01,x_2=4.484513739552697e-01
第176次迭代：f(x_i)=1.079193943039458e-01, x_1=6.714891260508096e-01,x_2=4.508977505650077e-01
第177次迭代：f(x_i)=1.073259000854802e-01, x_1=6.732934835349909e-01,x_2=4.508976933569090e-01
第178次迭代：f(x_i)=1.067373586307905e-01, x_1=6.732931610288388e-01,x_2=4.533237319055815e-01
第179次迭代：f(x_i)=1.061534795009820e-01, x_1=6.750775911033409e-01,x_2=4.533237039319106e-01
第180次迭代：f(x_i)=1.055741276381611e-01, x_1=6.750782746797800e-01,x_2=4.557314055914712e-01
第181次迭代：f(x_i)=1.049994773245482e-01, x_1=6.768445743041784e-01,x_2=4.557310096133060e-01
第182次迭代：f(x_i)=1.044297333572329e-01, x_1=6.768441037826406e-01,x_2=4.581169549846439e-01
第183次迭代：f(x_i)=1.038646095278929e-01, x_1=6.785907215907447e-01,x_2=4.581174880395206e-01
第184次迭代：f(x_i)=1.033036343550390e-01, x_1=6.785911725717469e-01,x_2=4.604862291815713e-01
第185次迭代：f(x_i)=1.027471800150495e-01, x_1=6.803204661022351e-01,x_2=4.604860948540460e-01
第186次迭代：f(x_i)=1.021953210794000e-01, x_1=6.803199709175771e-01,x_2=4.628343394590559e-01
第187次迭代：f(x_i)=1.016478513795075e-01, x_1=6.820310116673244e-01,x_2=4.628348338738235e-01
第188次迭代：f(x_i)=1.011046434744941e-01, x_1=6.820304363456873e-01,x_2=4.651647162263766e-01
第189次迭代：f(x_i)=1.005656743078661e-01, x_1=6.837237223531697e-01,x_2=4.651651423309730e-01
第190次迭代：f(x_i)=1.000307623955446e-01, x_1=6.837235981111903e-01,x_2=4.674777633517019e-01
第191次迭代：f(x_i)=9.949999706571631e-02, x_1=6.853996627836557e-01,x_2=4.674778668371526e-01
第192次迭代：f(x_i)=9.897321439474875e-02, x_1=6.853999135877348e-01,x_2=4.697735329116243e-01
第193次迭代：f(x_i)=9.845044933603536e-02, x_1=6.870596223652787e-01,x_2=4.697732737415909e-01
第194次迭代：f(x_i)=9.793190536515514e-02, x_1=6.870592623927266e-01,x_2=4.720493766127969e-01
第195次迭代：f(x_i)=9.741743759264244e-02, x_1=6.887021861199508e-01,x_2=4.720499299127235e-01
第196次迭代：f(x_i)=9.690696218540805e-02, x_1=6.887011692725015e-01,x_2=4.743079848815761e-01
第197次迭代：f(x_i)=9.640033470825914e-02, x_1=6.903277804672275e-01,x_2=4.743086727542053e-01
第198次迭代：f(x_i)=9.589759734854600e-02, x_1=6.903266285034796e-01,x_2=4.765490250210795e-01
第199次迭代：f(x_i)=9.539869142676517e-02, x_1=6.919375290935365e-01,x_2=4.765499772313202e-01
第200次迭代：f(x_i)=9.490374641167856e-02, x_1=6.919354843324579e-01,x_2=4.787722686630470e-01
第201次迭代：f(x_i)=9.441241454139296e-02, x_1=6.935307594662867e-01,x_2=4.787735365922488e-01
第202次迭代：f(x_i)=9.392500012944581e-02, x_1=6.935281433450654e-01,x_2=4.809778100929324e-01
第203次迭代：f(x_i)=9.344116556461614e-02, x_1=6.951076539310378e-01,x_2=4.809796041458463e-01
第204次迭代：f(x_i)=9.296096285690564e-02, x_1=6.951049993624401e-01,x_2=4.831671612862358e-01
第205次迭代：f(x_i)=9.248431759927946e-02, x_1=6.966694048205336e-01,x_2=4.831691138460729e-01
第206次迭代：f(x_i)=9.201125413901920e-02, x_1=6.966664335409143e-01,x_2=4.853401218349448e-01
第207次迭代：f(x_i)=9.154161901868493e-02, x_1=6.982159722687548e-01,x_2=4.853421678081210e-01
第208次迭代：f(x_i)=9.107550522519725e-02, x_1=6.982128185001782e-01,x_2=4.874963361788970e-01
第209次迭代：f(x_i)=9.061285936760356e-02, x_1=6.997472049856223e-01,x_2=4.874987840007070e-01
第210次迭代：f(x_i)=9.015335802282749e-02, x_1=6.997445141968928e-01,x_2=4.896388242954289e-01
第211次迭代：f(x_i)=8.969712975870849e-02, x_1=7.012653486673026e-01,x_2=4.896406309140021e-01
第212次迭代：f(x_i)=8.924447097153980e-02, x_1=7.012618729032132e-01,x_2=4.917633253757035e-01
第213次迭代：f(x_i)=8.879505865581194e-02, x_1=7.027684314237893e-01,x_2=4.917657966129539e-01
第214次迭代：f(x_i)=8.834906213831027e-02, x_1=7.027643049537696e-01,x_2=4.938715620133441e-01
第215次迭代：f(x_i)=8.790630275556488e-02, x_1=7.042573922816202e-01,x_2=4.938746382410574e-01
第216次迭代：f(x_i)=8.746713501192994e-02, x_1=7.042515796545069e-01,x_2=4.959619958383810e-01
第217次迭代：f(x_i)=8.703108952467628e-02, x_1=7.057300531898797e-01,x_2=4.959661573223798e-01
第218次迭代：f(x_i)=8.659801410325857e-02, x_1=7.057246045668207e-01,x_2=4.980396373164938e-01
第219次迭代：f(x_i)=8.616795583793682e-02, x_1=7.071896957959900e-01,x_2=4.980434249833246e-01
第220次迭代：f(x_i)=8.574084238405350e-02, x_1=7.071846366729204e-01,x_2=5.001027729870972e-01
第221次迭代：f(x_i)=8.531674646506966e-02, x_1=7.086361434714329e-01,x_2=5.001064231052037e-01
第222次迭代：f(x_i)=8.489532569112147e-02, x_1=7.086319810450012e-01,x_2=5.021536088563159e-01
第223次迭代：f(x_i)=8.447678433939404e-02, x_1=7.100710260703652e-01,x_2=5.021564198044848e-01
第224次迭代：f(x_i)=8.406118224111367e-02, x_1=7.100669404831564e-01,x_2=5.041893675896494e-01
第225次迭代：f(x_i)=8.364842533183892e-02, x_1=7.114924680985143e-01,x_2=5.041921742133070e-01
第226次迭代：f(x_i)=8.323813255675176e-02, x_1=7.114898076005067e-01,x_2=5.062139537488533e-01
第227次迭代：f(x_i)=8.283065849351064e-02, x_1=7.129032793678269e-01,x_2=5.062158152906012e-01
第228次迭代：f(x_i)=8.242591219732094e-02, x_1=7.129008690112154e-01,x_2=5.082242098427938e-01
第229次迭代：f(x_i)=8.202392984714278e-02, x_1=7.143022458626133e-01,x_2=5.082258914406985e-01
第230次迭代：f(x_i)=8.162480922659932e-02, x_1=7.142994448993752e-01,x_2=5.102191783618704e-01
第231次迭代：f(x_i)=8.122850142451511e-02, x_1=7.156884112528644e-01,x_2=5.102213801169450e-01
第232次迭代：f(x_i)=8.083489749361418e-02, x_1=7.156852176931041e-01,x_2=5.122007971762405e-01
第233次迭代：f(x_i)=8.044394046926914e-02, x_1=7.170620597436067e-01,x_2=5.122029976940254e-01
第234次迭代：f(x_i)=8.005557885627050e-02, x_1=7.170590570889008e-01,x_2=5.141695915378214e-01
第235次迭代：f(x_i)=7.966978036943992e-02, x_1=7.184238484190053e-01,x_2=5.141715732390583e-01
第236次迭代：f(x_i)=7.928639869817754e-02, x_1=7.184215957154565e-01,x_2=5.161265252913537e-01
第237次迭代：f(x_i)=7.890554065486156e-02, x_1=7.197752074443515e-01,x_2=5.161280004839991e-01
第238次迭代：f(x_i)=7.852733070371321e-02, x_1=7.197727184230339e-01,x_2=5.180690733592908e-01
第239次迭代：f(x_i)=7.815165188805481e-02, x_1=7.211146619785016e-01,x_2=5.180708451296215e-01
第240次迭代：f(x_i)=7.777847597531695e-02, x_1=7.211120749251888e-01,x_2=5.199991277708467e-01
第241次迭代：f(x_i)=7.740771524416447e-02, x_1=7.224424676521940e-01,x_2=5.200007989037322e-01
第242次迭代：f(x_i)=7.703926725061087e-02, x_1=7.224405171837331e-01,x_2=5.219175633929659e-01
第243次迭代：f(x_i)=7.667322193320568e-02, x_1=7.237598485798505e-01,x_2=5.219188664620267e-01
第244次迭代：f(x_i)=7.630948589646462e-02, x_1=7.237582844924130e-01,x_2=5.238237962970566e-01
第245次迭代：f(x_i)=7.594812434114127e-02, x_1=7.250670109544125e-01,x_2=5.238248673527058e-01
第246次迭代：f(x_i)=7.558925323052701e-02, x_1=7.250650036526938e-01,x_2=5.257160751322728e-01
第247次迭代：f(x_i)=7.523276659023544e-02, x_1=7.263622573441720e-01,x_2=5.257175801830014e-01
第248次迭代：f(x_i)=7.487835334342338e-02, x_1=7.263609074262680e-01,x_2=5.275982735089508e-01
第249次迭代：f(x_i)=7.452621749122665e-02, x_1=7.276477572221808e-01,x_2=5.275991652564758e-01
第250次迭代：f(x_i)=7.417624833000783e-02, x_1=7.276468320305023e-01,x_2=5.294684055572642e-01
第251次迭代：f(x_i)=7.382856147772067e-02, x_1=7.289232964523795e-01,x_2=5.294691122424076e-01
第252次迭代：f(x_i)=7.348307469674224e-02, x_1=7.289223829401236e-01,x_2=5.313263374165612e-01
第253次迭代：f(x_i)=7.313983200334989e-02, x_1=7.301891647843612e-01,x_2=5.313270403260542e-01
